epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.6262,1.03913,9.61145,1.22376,0.19618,0.51305,0.21678,0.15082,1.14313,8.59937,1.16227,0.00017454,0.00017454,0.00017454
2,85.5072,0.97475,7.03803,1.1643,0.32614,0.43973,0.34704,0.24369,1.06112,7.3861,1.10442,0.000342946,0.000342946,0.000342946
3,125.851,0.94926,6.26776,1.13662,0.42743,0.55228,0.46959,0.34476,1.02086,6.04548,1.06497,0.000504408,0.000504408,0.000504408
4,166.21,0.91197,5.74373,1.10546,0.56491,0.59377,0.60709,0.44158,1.05944,5.35324,1.10124,0.000494756,0.000494756,0.000494756
5,205.287,0.88195,5.09349,1.08291,0.64423,0.59907,0.66964,0.53539,0.8265,4.65513,0.97643,0.000484341,0.000484341,0.000484341
6,245.311,0.87225,4.6572,1.07685,0.68436,0.68097,0.73856,0.55996,0.94907,3.94778,1.02513,0.000473926,0.000473926,0.000473926
7,285.72,0.85239,4.3479,1.07284,0.78608,0.68516,0.77603,0.5698,1.02004,3.51712,1.06778,0.000463511,0.000463511,0.000463511
8,324.796,0.8273,4.05158,1.0573,0.77818,0.72084,0.78946,0.59672,0.97213,3.12882,1.03111,0.000453096,0.000453096,0.000453096
9,364.202,0.81283,3.87368,1.04961,0.77515,0.695,0.78496,0.61017,0.87052,3.35755,1.00356,0.000442682,0.000442682,0.000442682
10,404.966,0.79405,3.6901,1.03897,0.86648,0.76276,0.84583,0.6386,0.93797,2.57325,0.99847,0.000432267,0.000432267,0.000432267
11,445.042,0.80444,3.61281,1.04261,0.87452,0.74594,0.84708,0.64361,0.91433,2.55949,0.9981,0.000421852,0.000421852,0.000421852
12,484.51,0.78832,3.44714,1.036,0.88416,0.7921,0.86585,0.68979,0.81207,2.25763,0.94607,0.000411437,0.000411437,0.000411437
13,525.857,0.79011,3.35605,1.0361,0.90773,0.75891,0.85919,0.69633,0.76245,2.16786,0.93737,0.000401022,0.000401022,0.000401022
14,567.12,0.77699,3.27862,1.02702,0.89788,0.7912,0.8793,0.70703,0.78006,2.07841,0.93791,0.000390608,0.000390608,0.000390608
15,607.653,0.75322,3.11385,1.015,0.85634,0.81578,0.88796,0.7276,0.73396,2.00569,0.91529,0.000380193,0.000380193,0.000380193
